clickSelects	group
1-1	1
1-10	2
1-11	3
1-12	4
1-13	5
1-14	6
1-15	7
1-16	8
1-17	9
1-18	10
1-19	11
1-2	12
1-20	13
1-21	14
1-22	15
1-23	16
1-24	17
1-3	18
1-4	19
1-5	20
1-6	21
1-7	22
1-8	23
1-9	24
10-1	25
10-10	26
10-11	27
10-12	28
10-13	29
10-14	30
10-15	31
10-16	32
10-17	33
10-18	34
10-19	35
10-2	36
10-20	37
10-21	38
10-22	39
10-23	40
10-24	41
10-3	42
10-4	43
10-5	44
10-6	45
10-7	46
10-8	47
10-9	48
11-1	49
11-10	50
11-11	51
11-12	52
11-13	53
11-14	54
11-15	55
11-16	56
11-17	57
11-18	58
11-19	59
11-2	60
11-20	61
11-21	62
11-22	63
11-23	64
11-24	65
11-3	66
11-4	67
11-5	68
11-6	69
11-7	70
11-8	71
11-9	72
12-1	73
12-10	74
12-11	75
12-12	76
12-13	77
12-14	78
12-15	79
12-16	80
12-17	81
12-18	82
12-19	83
12-2	84
12-20	85
12-21	86
12-22	87
12-23	88
12-24	89
12-3	90
12-4	91
12-5	92
12-6	93
12-7	94
12-8	95
12-9	96
13-1	97
13-10	98
13-11	99
13-12	100
13-13	101
13-14	102
13-15	103
13-16	104
13-17	105
13-18	106
13-19	107
13-2	108
13-20	109
13-21	110
13-22	111
13-23	112
13-24	113
13-3	114
13-4	115
13-5	116
13-6	117
13-7	118
13-8	119
13-9	120
14-1	121
14-10	122
14-11	123
14-12	124
14-13	125
14-14	126
14-15	127
14-16	128
14-17	129
14-18	130
14-19	131
14-2	132
14-20	133
14-21	134
14-22	135
14-23	136
14-24	137
14-3	138
14-4	139
14-5	140
14-6	141
14-7	142
14-8	143
14-9	144
15-1	145
15-10	146
15-11	147
15-12	148
15-13	149
15-14	150
15-15	151
15-16	152
15-17	153
15-18	154
15-19	155
15-2	156
15-20	157
15-21	158
15-22	159
15-23	160
15-24	161
15-3	162
15-4	163
15-5	164
15-6	165
15-7	166
15-8	167
15-9	168
16-1	169
16-10	170
16-11	171
16-12	172
16-13	173
16-14	174
16-15	175
16-16	176
16-17	177
16-18	178
16-19	179
16-2	180
16-20	181
16-21	182
16-22	183
16-23	184
16-24	185
16-3	186
16-4	187
16-5	188
16-6	189
16-7	190
16-8	191
16-9	192
17-1	193
17-10	194
17-11	195
17-12	196
17-13	197
17-14	198
17-15	199
17-16	200
17-17	201
17-18	202
17-19	203
17-2	204
17-20	205
17-21	206
17-22	207
17-23	208
17-24	209
17-3	210
17-4	211
17-5	212
17-6	213
17-7	214
17-8	215
17-9	216
18-1	217
18-10	218
18-11	219
18-12	220
18-13	221
18-14	222
18-15	223
18-16	224
18-17	225
18-18	226
18-19	227
18-2	228
18-20	229
18-21	230
18-22	231
18-23	232
18-24	233
18-3	234
18-4	235
18-5	236
18-6	237
18-7	238
18-8	239
18-9	240
19-1	241
19-10	242
19-11	243
19-12	244
19-13	245
19-14	246
19-15	247
19-16	248
19-17	249
19-18	250
19-19	251
19-2	252
19-20	253
19-21	254
19-22	255
19-23	256
19-24	257
19-3	258
19-4	259
19-5	260
19-6	261
19-7	262
19-8	263
19-9	264
2-1	265
2-10	266
2-11	267
2-12	268
2-13	269
2-14	270
2-15	271
2-16	272
2-17	273
2-18	274
2-19	275
2-2	276
2-20	277
2-21	278
2-22	279
